product_id,variant_id,brand,perfume_name,variant_title,size_or_format,available,price_inr,compare_at_price_inr,sku,product_url,variant_image_url
8898136277246,47612112601342,Fragrance Du Bois,Cavort EDP,100 ML TESTER,100 ML TESTER,False,19500.00,19500.00,,https://scentoria.co.in/products/cavourt-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/FDB_Cavort_100ML_Tester.webp?v=1765517773
8348066545918,44961856979198,Louis Vuitton,Cceur Battant EDP,2 ML SAMPLE,2 ML SAMPLE,True,550.00,550.00,,https://scentoria.co.in/products/cceur-battant-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/IMG_1929_1af8baec-9ff9-4bec-9607-b3d5f8522fdd.jpg?v=1712922719
8348066545918,47899118829822,Louis Vuitton,Cceur Battant EDP,10 ML DECANT,10 ML DECANT,True,2950.00,550.00,,https://scentoria.co.in/products/cceur-battant-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/10_ML_DECANT_a651733c-a18f-4911-b084-d7051d8448f8.webp?v=1773224899
8348066545918,47899118862590,Louis Vuitton,Cceur Battant EDP,100 ML TESTER,100 ML TESTER,False,25500.00,550.00,,https://scentoria.co.in/products/cceur-battant-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/louis-vuitton--LP0151_PM2_Front_view.avif?v=1773224886
8495440462078,46101714796798,Annick Goutal,Ce Soir Ou Jamais EDP,10 ML DECANT,10 ML DECANT,True,650.00,650.00,,https://scentoria.co.in/products/ce-soir-ou-jamais-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/10_ML_Decant_68907b5b-221d-4108-8d05-a055aa44254b.jpg?v=1774497289
8495440462078,46101714829566,Annick Goutal,Ce Soir Ou Jamais EDP,20 ML DECANT,20 ML DECANT,True,1200.00,1200.00,,https://scentoria.co.in/products/ce-soir-ou-jamais-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/20_ML_Decant_73f3b4c2-160d-49a6-b224-2df61b1ff51f.jpg?v=1741692545
8495440462078,46101714862334,Annick Goutal,Ce Soir Ou Jamais EDP,30 ML DECANT,30 ML DECANT,True,1750.00,1750.00,,https://scentoria.co.in/products/ce-soir-ou-jamais-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/30_ML_Decant_37e9469f-0de4-4e1f-a1f0-67dbe23322c0.jpg?v=1773456126
8495440462078,45338194542846,Annick Goutal,Ce Soir Ou Jamais EDP,100 ML TESTER,100 ML TESTER,True,4000.00,4000.00,,https://scentoria.co.in/products/ce-soir-ou-jamais-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Ce_Soir_Ou_Jamais_100_ML_EDP_Tester.webp?v=1716539989
9048010850558,47491285942526,Carolina Herrera,Cedar Chic EDP,1.5 ML SAMPLE,1.5 ML SAMPLE,True,400.00,400.00,,https://scentoria.co.in/products/cedar-chic-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Cedar_Chic_EDP.webp?v=1762423315
8494596784382,46518003138814,Chopard,Cedar Malaki EDP,1.5 ML SAMPLE,1.5 ML SAMPLE,True,300.00,300.00,,https://scentoria.co.in/products/cedar-malaki-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Cedar_Malaki_EDP_1.5_ML.webp?v=1761559700
8494596784382,45337150292222,Chopard,Cedar Malaki EDP,80 ML TESTER,80 ML TESTER,False,5500.00,5500.00,,https://scentoria.co.in/products/cedar-malaki-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Cedar_Malaki_80_ML_EDP_Tester.png?v=1761559700
8494596784382,45337150259454,Chopard,Cedar Malaki EDP,80 ML RETAIL,80 ML RETAIL,True,6950.00,6500.00,,https://scentoria.co.in/products/cedar-malaki-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Cedar_Malaki_80_ML_EDP_Retail.webp?v=1747042940
8356304224510,44989628350718,Hermetica,Cedarise EDP,1.5 ML SAMPLE,1.5 ML SAMPLE,True,350.00,350.00,,https://scentoria.co.in/products/cedarise-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/MG_0478.jpg?v=1713170342
8346259980542,44958772003070,Mancera,Cedrat Boise EDP,2 ML SAMPLE,2 ML SAMPLE,False,300.00,300.00,,https://scentoria.co.in/products/cedrat-boise-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/IMG_1550.jpg?v=1749021785
8346259980542,44958772035838,Mancera,Cedrat Boise EDP,8 ML TRAVEL SPRAY,8 ML TRAVEL SPRAY,False,1350.00,1350.00,,https://scentoria.co.in/products/cedrat-boise-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/MG_0948.jpg?v=1749021785
8346259980542,46104163287294,Mancera,Cedrat Boise EDP,10 ML DECANT,10 ML DECANT,False,1050.00,850.00,,https://scentoria.co.in/products/cedrat-boise-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/10_ML_Decant_9bb85d98-8ef1-4f73-ad36-d876f1118607.jpg?v=1776680663
8346259980542,46008974475518,Mancera,Cedrat Boise EDP,20 ML DECANT,20 ML DECANT,False,1650.00,1350.00,,https://scentoria.co.in/products/cedrat-boise-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/20_ML_DECANT_d18049aa-c175-4bea-8ce2-babe95ae0a6b.webp?v=1731918245
8346259980542,46008974508286,Mancera,Cedrat Boise EDP,30 ML DECANT,30 ML DECANT,False,2200.00,1850.00,,https://scentoria.co.in/products/cedrat-boise-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/30_ML_DECANT_25e38eff-dcfb-4291-8b25-b5cfa7610582.webp?v=1731918254
8346259980542,45099051286782,Mancera,Cedrat Boise EDP,120 ML TESTER,120 ML TESTER,False,6500.00,5950.00,,https://scentoria.co.in/products/cedrat-boise-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/CedratBoisetester.png?v=1749021785
8346259980542,45099051319550,Mancera,Cedrat Boise EDP,120 ML RETAIL,120 ML RETAIL,False,7500.00,6500.00,,https://scentoria.co.in/products/cedrat-boise-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/CedratBoise120MLEDPRetail.webp?v=1714980290
8523742019838,47109570920702,Mancera,Cedrat Boise EDP Partial,13-14 ML TESTER,13-14 ML TESTER,False,1350.00,0.00,,https://scentoria.co.in/products/cedrat-boise-edp-partial,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/IMG_2690-Photoroom.png?v=1774177909
8389196316926,45086951342334,Atelier Versace,Cedrat De Diamante EDP,1.5 ML SAMPLE,1.5 ML SAMPLE,True,300.00,300.00,,https://scentoria.co.in/products/cedrat-de-diamante-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/IMG_1944_41c87c9a-c74c-4d3a-9fbf-6de18ab74782.jpg?v=1716184653
8482546811134,45296847225086,Jul ET Mad,Cedrat Gingembre EDP,100 ML TESTER,100 ML TESTER,False,8500.00,8500.00,,https://scentoria.co.in/products/cedrat-gingembre-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Cedrat_Gingembre_100_ML_EDP_Tester.webp?v=1716352229
8668047180030,45851337687294,Atelier Cologne,Cedre Atlas Cologne Absolue,30 ML RETAIL,30 ML RETAIL,False,2950.00,2950.00,,https://scentoria.co.in/products/cedre-atlas-cologne-absolue,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/cedre.webp?v=1727847239
8384256016638,45068209357054,Creed,Cedre Blanc EDP,2 ML SAMPLE,2 ML SAMPLE,True,400.00,400.00,,https://scentoria.co.in/products/cedre-blanc-edp,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/Cedre_Blanc.jpg?v=1714125357
9094795297022,47626031464702,Hermes,Cedre Sambac EDT,10 ML DECANT,10 ML DECANT,True,1450.00,1450.00,,https://scentoria.co.in/products/cedre-sambac-edt,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/10_ML_Decant_a6b7d6d4-9178-4355-8449-2e842e34de4c.jpg?v=1765967624
9094795297022,47626031497470,Hermes,Cedre Sambac EDT,20 ML DECANT,20 ML DECANT,True,2700.00,2700.00,,https://scentoria.co.in/products/cedre-sambac-edt,https://cdn.shopify.com/s/files/1/0679/6096/3326/files/20_ML_Decant_1155cfe0-c3aa-4a38-9bd5-888fc6ba8155.jpg?v=1765967964
